String,"Source (plugin or theme)","Čeština (cs_CZ)"
"Cena za zásilku do 2 kg",woocommerce-ulozenka,"Cena za zásilku do 2 kg"
"Cena za zásilku do 10 kg",woocommerce-ulozenka,"Cena za zásilku do 10 kg"
"Cena za zásilku do 20 kg",woocommerce-ulozenka,"Cena za zásilku do 20 kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Ceník Česká Pošta - Balík do Ruky",woocommerce-ulozenka,"Ceník Česká Pošta - Balík do Ruky"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Ceník Česká Pošta - Balík na Poštu",woocommerce-ulozenka,"Ceník Česká Pošta - Balík na Poštu"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Ceník DPD Private CZ",woocommerce-ulozenka,"Ceník DPD Private CZ"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Ceník DPD Pickup CZ",woocommerce-ulozenka,"Ceník DPD Pickup CZ"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
Uložit,woocommerce-ulozenka,Uložit
"Pobočky Uloženky v CZ",woocommerce-ulozenka,"Pobočky Uloženky v CZ"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Země,woocommerce-ulozenka,Země
"Pobočky Uloženky v CZ",woocommerce-ulozenka,"Pobočky Uloženky v CZ"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Země,woocommerce-ulozenka,Země
"Pobočky DPD",woocommerce-ulozenka,"Pobočky DPD"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Země,woocommerce-ulozenka,Země
"Ceník DPD Private Polsko",woocommerce-ulozenka,"Ceník DPD Private Polsko"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
uložit,woocommerce-ulozenka,uložit
"Licenční klíč",woocommerce-ulozenka,"Licenční klíč"
"ID obchodu",woocommerce-ulozenka,"ID obchodu"
"API Key",woocommerce-ulozenka,"API Key"
"Podací pobočka",woocommerce-ulozenka,"Podací pobočka"
"Odeslání zásilky do systému Uloženky",woocommerce-ulozenka,"Odeslání zásilky do systému Uloženky"
"Po vytvoření objednávky na děkovné stránce",woocommerce-ulozenka,"Po vytvoření objednávky na děkovné stránce"
"Při označení objednávky ""Zpracovává se""",woocommerce-ulozenka,"Při označení objednávky ""Zpracovává se"""
"Při označení objednávky ""Dokončená""",woocommerce-ulozenka,"Při označení objednávky ""Dokončená"""
"Zobrazení dopravy zdarma",woocommerce-ulozenka,"Zobrazení dopravy zdarma"
"Zobrazit zdarma všechny druhy dopravy",woocommerce-ulozenka,"Zobrazit zdarma všechny druhy dopravy"
"Zobrazit pouze dostupnou dopravu zdarma",woocommerce-ulozenka,"Zobrazit pouze dostupnou dopravu zdarma"
"Definovat pro každou dopravu zvlášť",woocommerce-ulozenka,"Definovat pro každou dopravu zvlášť"
"Vypnout odesílání do zásilkovny",woocommerce-ulozenka,"Vypnout odesílání do zásilkovny"
"Typ váhového navýšení",woocommerce-ulozenka,"Typ váhového navýšení"
Žádný,woocommerce-ulozenka,Žádný
"Hodnota navýšení",woocommerce-ulozenka,"Hodnota navýšení"
"Kurz Eura",woocommerce-ulozenka,"Kurz Eura"
"Povolit automatickou aktualizaci kurzu z Národní banky",woocommerce-ulozenka,"Povolit automatickou aktualizaci kurzu z Národní banky"
"Zadejte kurz pro přepočet",woocommerce-ulozenka,"Zadejte kurz pro přepočet"
Uložit,woocommerce-ulozenka,Uložit
Uloženka,woocommerce-ulozenka,Uloženka
"DPD Pickup",woocommerce-ulozenka,"DPD Pickup"
"Česká Pošta",woocommerce-ulozenka,"Česká Pošta"
"Uloženka Partner",woocommerce-ulozenka,"Uloženka Partner"
"Slovenská Pošta",woocommerce-ulozenka,"Slovenská Pošta"
"BalíkoBox SK",woocommerce-ulozenka,"BalíkoBox SK"
Zobrazit,woocommerce-ulozenka,Zobrazit
Zobrazit,woocommerce-ulozenka,Zobrazit
Zobrazit,woocommerce-ulozenka,Zobrazit
Zobrazit,woocommerce-ulozenka,Zobrazit
Zobrazit,woocommerce-ulozenka,Zobrazit
Zobrazit,woocommerce-ulozenka,Zobrazit
"Pobočky Uloženky v CZ",woocommerce-ulozenka,"Pobočky Uloženky v CZ"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
"Pobočky Uloženky v SK",woocommerce-ulozenka,"Pobočky Uloženky v SK"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
"DPD Pickup",woocommerce-ulozenka,"DPD Pickup"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
"Pobočky České Pošty",woocommerce-ulozenka,"Pobočky České Pošty"
ID,woocommerce-ulozenka,ID
PSČ,woocommerce-ulozenka,PSČ
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
ID,woocommerce-ulozenka,ID
PSČ,woocommerce-ulozenka,PSČ
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
"Uloženka Partner",woocommerce-ulozenka,"Uloženka Partner"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
"Pobočky Slovenské Pošty",woocommerce-ulozenka,"Pobočky Slovenské Pošty"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
"Balíkobox SK",woocommerce-ulozenka,"Balíkobox SK"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
ID,woocommerce-ulozenka,ID
Jméno,woocommerce-ulozenka,Jméno
Latitude,woocommerce-ulozenka,Latitude
Longitude,woocommerce-ulozenka,Longitude
Země,woocommerce-ulozenka,Země
Uložit,woocommerce-ulozenka,Uložit
"Načíst souřadnice",woocommerce-ulozenka,"Načíst souřadnice"
Uložit,woocommerce-ulozenka,Uložit
"Načíst dopravce",woocommerce-ulozenka,"Načíst dopravce"
"UPOZORNĚNÍ: načtením služeb, smažete předchozí uložená data, včetně poboček a musíte je znovu vytvořit!",woocommerce-ulozenka,"UPOZORNĚNÍ: načtením služeb, smažete předchozí uložená data, včetně poboček a musíte je znovu vytvořit!"
"Pomocí offset nastavte pořadí, v jakém se budou zobrazovat v pokladně.",woocommerce-ulozenka,"Pomocí offset nastavte pořadí, v jakém se budou zobrazovat v pokladně."
"Ceník Uloženka SK",woocommerce-ulozenka,"Ceník Uloženka SK"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Cena za zásilku do 2 kg",woocommerce-ulozenka,"Cena za zásilku do 2 kg"
"Cena za zásilku do 10 kg",woocommerce-ulozenka,"Cena za zásilku do 10 kg"
"Cena za zásilku do 20 kg",woocommerce-ulozenka,"Cena za zásilku do 20 kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Ceník Slovenská Pošta",woocommerce-ulozenka,"Ceník Slovenská Pošta"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Express kurýr",woocommerce-ulozenka,"Express kurýr"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Express kurýr na poštu",woocommerce-ulozenka,"Express kurýr na poštu"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Balíkobox SK",woocommerce-ulozenka,"Balíkobox SK"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Ceník DPD Private SK",woocommerce-ulozenka,"Ceník DPD Private SK"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Ceník DPD Pickup SK",woocommerce-ulozenka,"Ceník DPD Pickup SK"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Zásilka do '.$weight.' kg",woocommerce-ulozenka,"Zásilka do '.$weight.' kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
Uložit,woocommerce-ulozenka,Uložit
"Příplatek za Dobírku",woocommerce-ulozenka,"Příplatek za Dobírku"
"Vytvoření zásilky - data zásilky",woocommerce-ulozenka,"Vytvoření zásilky - data zásilky"
"Vytvoření zásilky - data chyby",woocommerce-ulozenka,"Vytvoření zásilky - data chyby"
"Vytvoření zásilky - znění chyby",woocommerce-ulozenka,"Vytvoření zásilky - znění chyby"
"Vytvoření zásilky - odpověď Uloženky",woocommerce-ulozenka,"Vytvoření zásilky - odpověď Uloženky"
"Dobirka', $this->plugin_slug );
    				$this->method_description = __( 'Umožňuje zákazníkům platit zboží při doručení (na dobírku).', $this->plugin_slug );
					$this->has_fields   = false;

					// Load the settings
					$this->init_form_fields();
					$this->init_settings();
     
					//Extra price
    				$this->current_gateway_extra_charges = '';

					// Get settings
					$this->title              = $this->get_option( 'title' );
					$this->description        = $this->get_option( 'description' );
					$this->instructions       = $this->get_option( 'instructions' );
					$this->enable_for_methods = $this->get_option( 'enable_for_methods', array() );
    				$this->enable_dobirka_countries = $this->get_option( 'enable_dobirka_countries', array() );
    				$this->order_status 	  = $this->get_option( 'order_status', array() );
    				$this->taxable            = $this->get_option( 'taxable' );
    				$this->show_cod           = $this->get_option( 'show_cod' );    				
	    
					add_action( 'woocommerce_update_options_payment_gateways_' . $this->id, array( $this, 'process_admin_options' ) );
					add_action( 'woocommerce_thankyou_dobirka', array( $this, 'thankyou' ) );
    
    				// Customer Emails
					add_action( 'woocommerce_email_before_order_table', array( $this, 'email_instructions' ), 10, 3 );
    
				}


				/**
    			 * Initialise Gateway Settings Form Fields
    			 *
    			 * @access public
    			 * @return void
    			 */
				public function init_form_fields() {
    	
    				//Get shipping methods
    				$shipping_methods = array();
    				if ( is_admin() ){
    					
    					$data_store = WC_Data_Store::load( 'shipping-zone' );
						$raw_zones  = $data_store->get_zones();

						foreach ( $raw_zones as $raw_zone ) {
							$zones[] = new WC_Shipping_Zone( $raw_zone );
						}

						$zones[] = new WC_Shipping_Zone(0);

						foreach ( WC()->shipping()->load_shipping_methods() as $method ) {

							$shipping_methods[ $method->get_method_title() ] = array();

							$shipping_methods[ $method->get_method_title() ][ $method->id ] = sprintf( __( 'Any &quot;%1$s&quot; method",woocommerce-ulozenka,"Dobirka', $this->plugin_slug );
    				$this->method_description = __( 'Umožňuje zákazníkům platit zboží při doručení (na dobírku).', $this->plugin_slug );
					$this->has_fields   = false;

					// Load the settings
					$this->init_form_fields();
					$this->init_settings();
     
					//Extra price
    				$this->current_gateway_extra_charges = '';

					// Get settings
					$this->title              = $this->get_option( 'title' );
					$this->description        = $this->get_option( 'description' );
					$this->instructions       = $this->get_option( 'instructions' );
					$this->enable_for_methods = $this->get_option( 'enable_for_methods', array() );
    				$this->enable_dobirka_countries = $this->get_option( 'enable_dobirka_countries', array() );
    				$this->order_status 	  = $this->get_option( 'order_status', array() );
    				$this->taxable            = $this->get_option( 'taxable' );
    				$this->show_cod           = $this->get_option( 'show_cod' );    				
	    
					add_action( 'woocommerce_update_options_payment_gateways_' . $this->id, array( $this, 'process_admin_options' ) );
					add_action( 'woocommerce_thankyou_dobirka', array( $this, 'thankyou' ) );
    
    				// Customer Emails
					add_action( 'woocommerce_email_before_order_table', array( $this, 'email_instructions' ), 10, 3 );
    
				}


				/**
    			 * Initialise Gateway Settings Form Fields
    			 *
    			 * @access public
    			 * @return void
    			 */
				public function init_form_fields() {
    	
    				//Get shipping methods
    				$shipping_methods = array();
    				if ( is_admin() ){
    					
    					$data_store = WC_Data_Store::load( 'shipping-zone' );
						$raw_zones  = $data_store->get_zones();

						foreach ( $raw_zones as $raw_zone ) {
							$zones[] = new WC_Shipping_Zone( $raw_zone );
						}

						$zones[] = new WC_Shipping_Zone(0);

						foreach ( WC()->shipping()->load_shipping_methods() as $method ) {

							$shipping_methods[ $method->get_method_title() ] = array();

							$shipping_methods[ $method->get_method_title() ][ $method->id ] = sprintf( __( 'Any &quot;%1$s&quot; method"
"%1$s (#%2$s)",woocommerce-ulozenka,"%1$s (#%2$s)"
"%1$s &ndash; %2$s",woocommerce-ulozenka,"%1$s &ndash; %2$s"
"Other locations",woocommerce-ulozenka,"Other locations"
"Povolit platbu na dobírku', $this->plugin_slug ),
							'label'       => __( 'Povolit platbu na dobírku', $this->plugin_slug ),
							'type'        => 'checkbox",woocommerce-ulozenka,"Povolit platbu na dobírku', $this->plugin_slug ),
							'label'       => __( 'Povolit platbu na dobírku', $this->plugin_slug ),
							'type'        => 'checkbox"
"Titulek', $this->plugin_slug ),
							'type'        => 'text",woocommerce-ulozenka,"Titulek', $this->plugin_slug ),
							'type'        => 'text"
"Zobrazit dobírku, pokud je cena zásilky 0', $this->plugin_slug ),
							'label'       => __( 'Zobrazit dobírku, pokud je cena zásilky 0', $this->plugin_slug ),
							'type'        => 'checkbox",woocommerce-ulozenka,"Zobrazit dobírku, pokud je cena zásilky 0', $this->plugin_slug ),
							'label'       => __( 'Zobrazit dobírku, pokud je cena zásilky 0', $this->plugin_slug ),
							'type'        => 'checkbox"
"Platba dobírkou.', $this->plugin_slug ) );
					}else{
						$order->update_status( 'on-hold', __( 'Platba dobírkou.', $this->plugin_slug ) );
					}

					// Reduce stock levels
					wc_reduce_stock_levels( $order_id );

					// Remove cart
					WC()->cart->empty_cart();
    
    				// Add order note
    				$order->add_order_note( __( 'Zákazník vybral platbu na dobírku', $this->plugin_slug ) );

					// Return thankyou redirect
					return array(
						'result' 	=> 'success",woocommerce-ulozenka,"Platba dobírkou.', $this->plugin_slug ) );
					}else{
						$order->update_status( 'on-hold', __( 'Platba dobírkou.', $this->plugin_slug ) );
					}

					// Reduce stock levels
					wc_reduce_stock_levels( $order_id );

					// Remove cart
					WC()->cart->empty_cart();
    
    				// Add order note
    				$order->add_order_note( __( 'Zákazník vybral platbu na dobírku', $this->plugin_slug ) );

					// Return thankyou redirect
					return array(
						'result' 	=> 'success"
"Chyba odeslání do Uloženky",woocommerce-ulozenka,"Chyba odeslání do Uloženky"
"V případě, že nebyla z nějakého důvodu odeslána zásilka do Uloženky, přijde upozornění",woocommerce-ulozenka,"V případě, že nebyla z nějakého důvodu odeslána zásilka do Uloženky, přijde upozornění"
"Uloženka - Chyba odeslání",woocommerce-ulozenka,"Uloženka - Chyba odeslání"
