String,"Source (plugin or theme)","Čeština (cs_CZ)"
"%1$s %2$s keys switch panels",wp-contact-form-7,"%1$s %2$s keys switch panels"
"(left and right arrow)",wp-contact-form-7,"(left and right arrow)"
Form,wp-contact-form-7,Form
Mail,wp-contact-form-7,Mail
Messages,wp-contact-form-7,Messages
"Additional Settings (%d)",wp-contact-form-7,"Additional Settings (%d)"
"Additional Settings",wp-contact-form-7,"Additional Settings"
Title,wp-contact-form-7,Title
Shortcode,wp-contact-form-7,Shortcode
Author,wp-contact-form-7,Author
Date,wp-contact-form-7,Date
Delete,wp-contact-form-7,Delete
"Edit &#8220;%s&#8221;",wp-contact-form-7,"Edit &#8220;%s&#8221;"
Edit,wp-contact-form-7,Edit
Duplicate,wp-contact-form-7,Duplicate
"%1$s at %2$s",wp-contact-form-7,"%1$s at %2$s"
Y/m/d,wp-contact-form-7,Y/m/d
"g:i a",wp-contact-form-7,"g:i a"
"Validate Contact Form 7 Configuration",wp-contact-form-7,"Validate Contact Form 7 Configuration"
"Misconfiguration leads to mail delivery failure or other troubles. Validate your contact forms now.",wp-contact-form-7,"Misconfiguration leads to mail delivery failure or other troubles. Validate your contact forms now."
"You are not allowed to validate configuration.",wp-contact-form-7,"You are not allowed to validate configuration."
"Validate Configuration",wp-contact-form-7,"Validate Configuration"
https://contactform7.com/configuration-validator-faq/,wp-contact-form-7,https://contactform7.com/configuration-validator-faq/
"FAQ about Configuration Validator",wp-contact-form-7,"FAQ about Configuration Validator"
https://contactform7.com/editing-form-template/,wp-contact-form-7,https://contactform7.com/editing-form-template/
"Editing form template",wp-contact-form-7,"Editing form template"
"You can edit the form template here. For details, see %s.",wp-contact-form-7,"You can edit the form template here. For details, see %s."
Form,wp-contact-form-7,Form
"Mail (2)",wp-contact-form-7,"Mail (2)"
"Use Mail (2)",wp-contact-form-7,"Use Mail (2)"
Mail,wp-contact-form-7,Mail
"Mail (2) is an additional mail template often used as an autoresponder.",wp-contact-form-7,"Mail (2) is an additional mail template often used as an autoresponder."
https://contactform7.com/setting-up-mail/,wp-contact-form-7,https://contactform7.com/setting-up-mail/
"Setting up mail",wp-contact-form-7,"Setting up mail"
"You can edit the mail template here. For details, see %s.",wp-contact-form-7,"You can edit the mail template here. For details, see %s."
"In the following fields, you can use these mail-tags:",wp-contact-form-7,"In the following fields, you can use these mail-tags:"
To,wp-contact-form-7,To
From,wp-contact-form-7,From
Subject,wp-contact-form-7,Subject
"Additional headers",wp-contact-form-7,"Additional headers"
"Message body",wp-contact-form-7,"Message body"
"Exclude lines with blank mail-tags from output",wp-contact-form-7,"Exclude lines with blank mail-tags from output"
"Use HTML content type",wp-contact-form-7,"Use HTML content type"
"File attachments",wp-contact-form-7,"File attachments"
https://contactform7.com/editing-messages/,wp-contact-form-7,https://contactform7.com/editing-messages/
"Editing messages",wp-contact-form-7,"Editing messages"
"You can edit messages used in various situations here. For details, see %s.",wp-contact-form-7,"You can edit messages used in various situations here. For details, see %s."
Messages,wp-contact-form-7,Messages
https://contactform7.com/additional-settings/,wp-contact-form-7,https://contactform7.com/additional-settings/
"Additional settings",wp-contact-form-7,"Additional settings"
"You can add customization code snippets here. For details, see %s.",wp-contact-form-7,"You can add customization code snippets here. For details, see %s."
"Additional Settings",wp-contact-form-7,"Additional Settings"
Overview,wp-contact-form-7,Overview
"Available Actions",wp-contact-form-7,"Available Actions"
Overview,wp-contact-form-7,Overview
Form-tags,wp-contact-form-7,Form-tags
Mail-tags,wp-contact-form-7,Mail-tags
Overview,wp-contact-form-7,Overview
"On this screen, you can manage contact forms provided by Contact Form 7. You can manage an unlimited number of contact forms. Each contact form has a unique ID and Contact Form 7 shortcode ([contact-form-7 ...]). To insert a contact form into a post or a text widget, insert the shortcode into the target.",wp-contact-form-7,"On this screen, you can manage contact forms provided by Contact Form 7. You can manage an unlimited number of contact forms. Each contact form has a unique ID and Contact Form 7 shortcode ([contact-form-7 ...]). To insert a contact form into a post or a text widget, insert the shortcode into the target."
"Hovering over a row in the contact forms list will display action links that allow you to manage your contact form. You can perform the following actions:",wp-contact-form-7,"Hovering over a row in the contact forms list will display action links that allow you to manage your contact form. You can perform the following actions:"
"<strong>Edit</strong> - Navigates to the editing screen for that contact form. You can also reach that screen by clicking on the contact form title.",wp-contact-form-7,"<strong>Edit</strong> - Navigates to the editing screen for that contact form. You can also reach that screen by clicking on the contact form title."
"<strong>Duplicate</strong> - Clones that contact form. A cloned contact form inherits all content from the original, but has a different ID.",wp-contact-form-7,"<strong>Duplicate</strong> - Clones that contact form. A cloned contact form inherits all content from the original, but has a different ID."
"On this screen, you can edit a contact form. A contact form is comprised of the following components:",wp-contact-form-7,"On this screen, you can edit a contact form. A contact form is comprised of the following components:"
"<strong>Title</strong> is the title of a contact form. This title is only used for labeling a contact form, and can be edited.",wp-contact-form-7,"<strong>Title</strong> is the title of a contact form. This title is only used for labeling a contact form, and can be edited."
"<strong>Form</strong> is a content of HTML form. You can use arbitrary HTML, which is allowed inside a form element. You can also use Contact Form 7&#8217;s form-tags here.",wp-contact-form-7,"<strong>Form</strong> is a content of HTML form. You can use arbitrary HTML, which is allowed inside a form element. You can also use Contact Form 7&#8217;s form-tags here."
"<strong>Mail</strong> manages a mail template (headers and message body) that this contact form will send when users submit it. You can use Contact Form 7&#8217;s mail-tags here.",wp-contact-form-7,"<strong>Mail</strong> manages a mail template (headers and message body) that this contact form will send when users submit it. You can use Contact Form 7&#8217;s mail-tags here."
"<strong>Mail (2)</strong> is an additional mail template that works similar to Mail. Mail (2) is different in that it is sent only when Mail has been sent successfully.",wp-contact-form-7,"<strong>Mail (2)</strong> is an additional mail template that works similar to Mail. Mail (2) is different in that it is sent only when Mail has been sent successfully."
"In <strong>Messages</strong>, you can edit various types of messages used for this contact form. These messages are relatively short messages, like a validation error message you see when you leave a required field blank.",wp-contact-form-7,"In <strong>Messages</strong>, you can edit various types of messages used for this contact form. These messages are relatively short messages, like a validation error message you see when you leave a required field blank."
"<strong>Additional Settings</strong> provides a place where you can customize the behavior of this contact form by adding code snippets.",wp-contact-form-7,"<strong>Additional Settings</strong> provides a place where you can customize the behavior of this contact form by adding code snippets."
"A form-tag is a short code enclosed in square brackets used in a form content. A form-tag generally represents an input field, and its components can be separated into four parts: type, name, options, and values. Contact Form 7 supports several types of form-tags including text fields, number fields, date fields, checkboxes, radio buttons, menus, file-uploading fields, CAPTCHAs, and quiz fields.",wp-contact-form-7,"A form-tag is a short code enclosed in square brackets used in a form content. A form-tag generally represents an input field, and its components can be separated into four parts: type, name, options, and values. Contact Form 7 supports several types of form-tags including text fields, number fields, date fields, checkboxes, radio buttons, menus, file-uploading fields, CAPTCHAs, and quiz fields."
"While form-tags have a comparatively complex syntax, you don&#8217;t need to know the syntax to add form-tags because you can use the straightforward tag generator (<strong>Generate Tag</strong> button on this screen).",wp-contact-form-7,"While form-tags have a comparatively complex syntax, you don&#8217;t need to know the syntax to add form-tags because you can use the straightforward tag generator (<strong>Generate Tag</strong> button on this screen)."
"A mail-tag is also a short code enclosed in square brackets that you can use in every Mail and Mail (2) field. A mail-tag represents a user input value through an input field of a corresponding form-tag.",wp-contact-form-7,"A mail-tag is also a short code enclosed in square brackets that you can use in every Mail and Mail (2) field. A mail-tag represents a user input value through an input field of a corresponding form-tag."
"There are also special mail-tags that have specific names, but don&#8217;t have corresponding form-tags. They are used to represent meta information of form submissions like the submitter&#8217;s IP address or the URL of the page.",wp-contact-form-7,"There are also special mail-tags that have specific names, but don&#8217;t have corresponding form-tags. They are used to represent meta information of form submissions like the submitter&#8217;s IP address or the URL of the page."
"On this screen, you can manage services that are available through Contact Form 7. Using API will allow you to collaborate with any services that are available.",wp-contact-form-7,"On this screen, you can manage services that are available through Contact Form 7. Using API will allow you to collaborate with any services that are available."
"You may need to first sign up for an account with the service that you plan to use. When you do so, you would need to authorize Contact Form 7 to access the service with your account.",wp-contact-form-7,"You may need to first sign up for an account with the service that you plan to use. When you do so, you would need to authorize Contact Form 7 to access the service with your account."
"Any information you provide will not be shared with service providers without your authorization.",wp-contact-form-7,"Any information you provide will not be shared with service providers without your authorization."
"For more information:",wp-contact-form-7,"For more information:"
https://contactform7.com/docs/,wp-contact-form-7,https://contactform7.com/docs/
Docs,wp-contact-form-7,Docs
https://contactform7.com/faq/,wp-contact-form-7,https://contactform7.com/faq/
FAQ,wp-contact-form-7,FAQ
https://contactform7.com/support/,wp-contact-form-7,https://contactform7.com/support/
Support,wp-contact-form-7,Support
"Form-tag Generator: %s",wp-contact-form-7,"Form-tag Generator: %s"
Dismiss,wp-contact-form-7,Dismiss
"Getting spammed? You have protection.",wp-contact-form-7,"Getting spammed? You have protection."
"Spammers target everything; your contact forms aren&#8217;t an exception. Before you get spammed, protect your contact forms with the powerful anti-spam features Contact Form 7 provides.",wp-contact-form-7,"Spammers target everything; your contact forms aren&#8217;t an exception. Before you get spammed, protect your contact forms with the powerful anti-spam features Contact Form 7 provides."
"Contact Form 7 supports spam-filtering with %1$s. Intelligent %2$s blocks annoying spambots. Plus, using %3$s, you can block messages containing specified keywords or those sent from specified IP addresses.",wp-contact-form-7,"Contact Form 7 supports spam-filtering with %1$s. Intelligent %2$s blocks annoying spambots. Plus, using %3$s, you can block messages containing specified keywords or those sent from specified IP addresses."
https://contactform7.com/spam-filtering-with-akismet/,wp-contact-form-7,https://contactform7.com/spam-filtering-with-akismet/
Akismet,wp-contact-form-7,Akismet
https://contactform7.com/recaptcha/,wp-contact-form-7,https://contactform7.com/recaptcha/
reCAPTCHA,wp-contact-form-7,reCAPTCHA
https://contactform7.com/comment-blacklist/,wp-contact-form-7,https://contactform7.com/comment-blacklist/
"disallowed list",wp-contact-form-7,"disallowed list"
"Contact Form 7 needs your support.",wp-contact-form-7,"Contact Form 7 needs your support."
"It is hard to continue development and support for this plugin without contributions from users like you.",wp-contact-form-7,"It is hard to continue development and support for this plugin without contributions from users like you."
"If you enjoy using Contact Form 7 and find it useful, please consider %s.",wp-contact-form-7,"If you enjoy using Contact Form 7 and find it useful, please consider %s."
https://contactform7.com/donate/,wp-contact-form-7,https://contactform7.com/donate/
"making a donation",wp-contact-form-7,"making a donation"
"Your donation will help encourage and support the plugin&#8217;s continued development and better user support.",wp-contact-form-7,"Your donation will help encourage and support the plugin&#8217;s continued development and better user support."
"Before you cry over spilt mail&#8230;",wp-contact-form-7,"Before you cry over spilt mail&#8230;"
"Contact Form 7 doesn&#8217;t store submitted messages anywhere. Therefore, you may lose important messages forever if your mail server has issues or you make a mistake in mail configuration.",wp-contact-form-7,"Contact Form 7 doesn&#8217;t store submitted messages anywhere. Therefore, you may lose important messages forever if your mail server has issues or you make a mistake in mail configuration."
"Install a message storage plugin before this happens to you. %s saves all messages through contact forms into the database. Flamingo is a free WordPress plugin created by the same author as Contact Form 7.",wp-contact-form-7,"Install a message storage plugin before this happens to you. %s saves all messages through contact forms into the database. Flamingo is a free WordPress plugin created by the same author as Contact Form 7."
https://contactform7.com/save-submitted-messages-with-flamingo/,wp-contact-form-7,https://contactform7.com/save-submitted-messages-with-flamingo/
Flamingo,wp-contact-form-7,Flamingo
https://contactform7.com/configuration-errors/,wp-contact-form-7,https://contactform7.com/configuration-errors/
"There is a possible empty field.",wp-contact-form-7,"There is a possible empty field."
"Invalid mailbox syntax is used.",wp-contact-form-7,"Invalid mailbox syntax is used."
"Sender email address does not belong to the site domain.",wp-contact-form-7,"Sender email address does not belong to the site domain."
"HTML tags are used in a message.",wp-contact-form-7,"HTML tags are used in a message."
"Multiple form controls are in a single label element.",wp-contact-form-7,"Multiple form controls are in a single label element."
"There are invalid mail header fields.",wp-contact-form-7,"There are invalid mail header fields."
"Deprecated settings are used.",wp-contact-form-7,"Deprecated settings are used."
"Unavailable names (%names%) are used for form controls.",wp-contact-form-7,"Unavailable names (%names%) are used for form controls."
"Unavailable HTML elements are used in the form template.",wp-contact-form-7,"Unavailable HTML elements are used in the form template."
"Invalid mailbox syntax is used in the %name% field.",wp-contact-form-7,"Invalid mailbox syntax is used in the %name% field."
"The total size of attachment files is too large.",wp-contact-form-7,"The total size of attachment files is too large."
"Attachment file does not exist at %path%.",wp-contact-form-7,"Attachment file does not exist at %path%."
"It is not allowed to use files outside the wp-content directory.",wp-contact-form-7,"It is not allowed to use files outside the wp-content directory."
"Not Found",wp-contact-form-7,"Not Found"
(optional),wp-contact-form-7,(optional)
"Your name",wp-contact-form-7,"Your name"
"Your email",wp-contact-form-7,"Your email"
Subject,wp-contact-form-7,Subject
"Your message",wp-contact-form-7,"Your message"
Submit,wp-contact-form-7,Submit
"From: %s",wp-contact-form-7,"From: %s"
"Subject: %s",wp-contact-form-7,"Subject: %s"
"Message Body:",wp-contact-form-7,"Message Body:"
"This e-mail was sent from a contact form on %1$s (%2$s)",wp-contact-form-7,"This e-mail was sent from a contact form on %1$s (%2$s)"
"Message Body:",wp-contact-form-7,"Message Body:"
"This e-mail was sent from a contact form on %1$s (%2$s)",wp-contact-form-7,"This e-mail was sent from a contact form on %1$s (%2$s)"
"Sender's message was sent successfully",wp-contact-form-7,"Sender's message was sent successfully"
"Thank you for your message. It has been sent.",wp-contact-form-7,"Thank you for your message. It has been sent."
"Sender's message failed to send",wp-contact-form-7,"Sender's message failed to send"
"There was an error trying to send your message. Please try again later.",wp-contact-form-7,"There was an error trying to send your message. Please try again later."
"Validation errors occurred",wp-contact-form-7,"Validation errors occurred"
"One or more fields have an error. Please check and try again.",wp-contact-form-7,"One or more fields have an error. Please check and try again."
"Submission was referred to as spam",wp-contact-form-7,"Submission was referred to as spam"
"There was an error trying to send your message. Please try again later.",wp-contact-form-7,"There was an error trying to send your message. Please try again later."
"There are terms that the sender must accept",wp-contact-form-7,"There are terms that the sender must accept"
"You must accept the terms and conditions before sending your message.",wp-contact-form-7,"You must accept the terms and conditions before sending your message."
"There is a field that the sender must fill in",wp-contact-form-7,"There is a field that the sender must fill in"
"The field is required.",wp-contact-form-7,"The field is required."
"There is a field with input that is longer than the maximum allowed length",wp-contact-form-7,"There is a field with input that is longer than the maximum allowed length"
"The field is too long.",wp-contact-form-7,"The field is too long."
"There is a field with input that is shorter than the minimum allowed length",wp-contact-form-7,"There is a field with input that is shorter than the minimum allowed length"
"The field is too short.",wp-contact-form-7,"The field is too short."
"Contact Forms",wp-contact-form-7,"Contact Forms"
"Contact Form",wp-contact-form-7,"Contact Form"
Untitled,wp-contact-form-7,Untitled
"<code>%1$s</code> property of a <code>WPCF7_ContactForm</code> object is <strong>no longer accessible</strong>. Use <code>%2$s</code> method instead.",wp-contact-form-7,"<code>%1$s</code> property of a <code>WPCF7_ContactForm</code> object is <strong>no longer accessible</strong>. Use <code>%2$s</code> method instead."
Untitled,wp-contact-form-7,Untitled
"This contact form is available only for logged in users.",wp-contact-form-7,"This contact form is available only for logged in users."
"This contact form is available only for logged in users.",wp-contact-form-7,"This contact form is available only for logged in users."
"%1$s is <strong>deprecated</strong> since Contact Form 7 version %2$s! Use %3$s instead.",wp-contact-form-7,"%1$s is <strong>deprecated</strong> since Contact Form 7 version %2$s! Use %3$s instead."
"%1$s is <strong>deprecated</strong> since Contact Form 7 version %2$s! Use %3$s instead.",wp-contact-form-7,"%1$s is <strong>deprecated</strong> since Contact Form 7 version %2$s! Use %3$s instead."
"(This message was added in Contact Form 7 version %s.)",wp-contact-form-7,"(This message was added in Contact Form 7 version %s.)"
"%1$s was called incorrectly. %2$s %3$s",wp-contact-form-7,"%1$s was called incorrectly. %2$s %3$s"
"HTTP Response: %1$s %2$s %3$s from %4$s",wp-contact-form-7,"HTTP Response: %1$s %2$s %3$s from %4$s"
"You are not allowed to access contact forms.",wp-contact-form-7,"You are not allowed to access contact forms."
"You are not allowed to create a contact form.",wp-contact-form-7,"You are not allowed to create a contact form."
"You are not allowed to access the requested contact form.",wp-contact-form-7,"You are not allowed to access the requested contact form."
"You are not allowed to access the requested contact form.",wp-contact-form-7,"You are not allowed to access the requested contact form."
"You are not allowed to access the requested contact form.",wp-contact-form-7,"You are not allowed to access the requested contact form."
"Cannot create existing contact form.",wp-contact-form-7,"Cannot create existing contact form."
"There was an error saving the contact form.",wp-contact-form-7,"There was an error saving the contact form."
"The requested contact form was not found.",wp-contact-form-7,"The requested contact form was not found."
"The requested contact form was not found.",wp-contact-form-7,"The requested contact form was not found."
"There was an error saving the contact form.",wp-contact-form-7,"There was an error saving the contact form."
"The requested contact form was not found.",wp-contact-form-7,"The requested contact form was not found."
"There was an error deleting the contact form.",wp-contact-form-7,"There was an error deleting the contact form."
"The requested contact form was not found.",wp-contact-form-7,"The requested contact form was not found."
"The requested contact form was not found.",wp-contact-form-7,"The requested contact form was not found."
"The fourth parameter ($mail_tag) must be an instance of the WPCF7_MailTag class.",wp-contact-form-7,"The fourth parameter ($mail_tag) must be an instance of the WPCF7_MailTag class."
"The fourth parameter ($mail_tag) must be an instance of the WPCF7_MailTag class.",wp-contact-form-7,"The fourth parameter ($mail_tag) must be an instance of the WPCF7_MailTag class."
"The fourth parameter ($mail_tag) must be an instance of the WPCF7_MailTag class.",wp-contact-form-7,"The fourth parameter ($mail_tag) must be an instance of the WPCF7_MailTag class."
"The fourth parameter ($mail_tag) must be an instance of the WPCF7_MailTag class.",wp-contact-form-7,"The fourth parameter ($mail_tag) must be an instance of the WPCF7_MailTag class."
"Sending mail has been aborted.",wp-contact-form-7,"Sending mail has been aborted."
"User-Agent string is unnaturally short.",wp-contact-form-7,"User-Agent string is unnaturally short."
"Submitted nonce is invalid.",wp-contact-form-7,"Submitted nonce is invalid."
"Contact form %d",wp-contact-form-7,"Contact form %d"
Consented,wp-contact-form-7,Consented
"Not consented",wp-contact-form-7,"Not consented"
acceptance,wp-contact-form-7,acceptance
"Generate a form-tag for an acceptance checkbox. For more details, see %s.",wp-contact-form-7,"Generate a form-tag for an acceptance checkbox. For more details, see %s."
https://contactform7.com/acceptance-checkbox/,wp-contact-form-7,https://contactform7.com/acceptance-checkbox/
"Acceptance checkbox",wp-contact-form-7,"Acceptance checkbox"
Name,wp-contact-form-7,Name
Condition,wp-contact-form-7,Condition
Options,wp-contact-form-7,Options
Options,wp-contact-form-7,Options
"Make this checkbox optional",wp-contact-form-7,"Make this checkbox optional"
"Id attribute",wp-contact-form-7,"Id attribute"
"Class attribute",wp-contact-form-7,"Class attribute"
"Insert Tag",wp-contact-form-7,"Insert Tag"
"Akismet returns a spam response.",wp-contact-form-7,"Akismet returns a spam response."
checkboxes,wp-contact-form-7,checkboxes
"radio buttons",wp-contact-form-7,"radio buttons"
"Generate a form-tag for a group of checkboxes. For more details, see %s.",wp-contact-form-7,"Generate a form-tag for a group of checkboxes. For more details, see %s."
"Generate a form-tag for a group of radio buttons. For more details, see %s.",wp-contact-form-7,"Generate a form-tag for a group of radio buttons. For more details, see %s."
https://contactform7.com/checkboxes-radio-buttons-and-menus/,wp-contact-form-7,https://contactform7.com/checkboxes-radio-buttons-and-menus/
"Checkboxes, radio buttons and menus",wp-contact-form-7,"Checkboxes, radio buttons and menus"
"Field type",wp-contact-form-7,"Field type"
"Field type",wp-contact-form-7,"Field type"
"Required field",wp-contact-form-7,"Required field"
Name,wp-contact-form-7,Name
Options,wp-contact-form-7,Options
Options,wp-contact-form-7,Options
"One option per line.",wp-contact-form-7,"One option per line."
"Put a label first, a checkbox last",wp-contact-form-7,"Put a label first, a checkbox last"
"Wrap each item with label element",wp-contact-form-7,"Wrap each item with label element"
"Make checkboxes exclusive",wp-contact-form-7,"Make checkboxes exclusive"
"Id attribute",wp-contact-form-7,"Id attribute"
"Class attribute",wp-contact-form-7,"Class attribute"
"Insert Tag",wp-contact-form-7,"Insert Tag"
"To use the value input through this field in a mail field, you need to insert the corresponding mail-tag (%s) into the field on the Mail tab.",wp-contact-form-7,"To use the value input through this field in a mail field, you need to insert the corresponding mail-tag (%s) into the field on the Mail tab."
"Email marketing",wp-contact-form-7,"Email marketing"
"Constant Contact",wp-contact-form-7,"Constant Contact"
"Connection established.",wp-contact-form-7,"Connection established."
Error,wp-contact-form-7,Error
"Failed to establish connection. Please double-check your configuration.",wp-contact-form-7,"Failed to establish connection. Please double-check your configuration."
"Configuration updated.",wp-contact-form-7,"Configuration updated."
"The Constant Contact integration module allows you to send contact data collected through your contact forms to the Constant Contact API. You can create reliable email subscription services in a few easy steps. For details, see %s.",wp-contact-form-7,"The Constant Contact integration module allows you to send contact data collected through your contact forms to the Constant Contact API. You can create reliable email subscription services in a few easy steps. For details, see %s."
https://contactform7.com/constant-contact-integration/,wp-contact-form-7,https://contactform7.com/constant-contact-integration/
"Constant Contact integration",wp-contact-form-7,"Constant Contact integration"
"This site is connected to the Constant Contact API.",wp-contact-form-7,"This site is connected to the Constant Contact API."
"Setup Integration",wp-contact-form-7,"Setup Integration"
"API Key",wp-contact-form-7,"API Key"
"App Secret",wp-contact-form-7,"App Secret"
"Redirect URI",wp-contact-form-7,"Redirect URI"
"Set this URL as the redirect URI.",wp-contact-form-7,"Set this URL as the redirect URI."
"Connect to the Constant Contact API",wp-contact-form-7,"Connect to the Constant Contact API"
"Select lists to which newly added contacts are to belong.",wp-contact-form-7,"Select lists to which newly added contacts are to belong."
"Date format that the sender entered is invalid",wp-contact-form-7,"Date format that the sender entered is invalid"
"The date format is incorrect.",wp-contact-form-7,"The date format is incorrect."
"Date is earlier than minimum limit",wp-contact-form-7,"Date is earlier than minimum limit"
"The date is before the earliest one allowed.",wp-contact-form-7,"The date is before the earliest one allowed."
"Date is later than maximum limit",wp-contact-form-7,"Date is later than maximum limit"
"The date is after the latest one allowed.",wp-contact-form-7,"The date is after the latest one allowed."
date,wp-contact-form-7,date
"Generate a form-tag for a date input field. For more details, see %s.",wp-contact-form-7,"Generate a form-tag for a date input field. For more details, see %s."
https://contactform7.com/date-field/,wp-contact-form-7,https://contactform7.com/date-field/
"Date field",wp-contact-form-7,"Date field"
"Field type",wp-contact-form-7,"Field type"
"Field type",wp-contact-form-7,"Field type"
"Required field",wp-contact-form-7,"Required field"
Name,wp-contact-form-7,Name
"Default value",wp-contact-form-7,"Default value"
"Use this text as the placeholder of the field",wp-contact-form-7,"Use this text as the placeholder of the field"
Range,wp-contact-form-7,Range
Range,wp-contact-form-7,Range
Min,wp-contact-form-7,Min
Max,wp-contact-form-7,Max
"Id attribute",wp-contact-form-7,"Id attribute"
"Class attribute",wp-contact-form-7,"Class attribute"
"Insert Tag",wp-contact-form-7,"Insert Tag"
"To use the value input through this field in a mail field, you need to insert the corresponding mail-tag (%s) into the field on the Mail tab.",wp-contact-form-7,"To use the value input through this field in a mail field, you need to insert the corresponding mail-tag (%s) into the field on the Mail tab."
"Disallowed words are used.",wp-contact-form-7,"Disallowed words are used."
"Disallowed words (%s) are used.",wp-contact-form-7,"Disallowed words (%s) are used."
"Uploading a file fails for any reason",wp-contact-form-7,"Uploading a file fails for any reason"
"There was an unknown error uploading the file.",wp-contact-form-7,"There was an unknown error uploading the file."
"Uploaded file is not allowed for file type",wp-contact-form-7,"Uploaded file is not allowed for file type"
"You are not allowed to upload files of this type.",wp-contact-form-7,"You are not allowed to upload files of this type."
"Uploaded file is too large",wp-contact-form-7,"Uploaded file is too large"
"The file is too big.",wp-contact-form-7,"The file is too big."
"Uploading a file fails for PHP error",wp-contact-form-7,"Uploading a file fails for PHP error"
"There was an error uploading the file.",wp-contact-form-7,"There was an error uploading the file."
file,wp-contact-form-7,file
"Generate a form-tag for a file uploading field. For more details, see %s.",wp-contact-form-7,"Generate a form-tag for a file uploading field. For more details, see %s."
https://contactform7.com/file-uploading-and-attachment/,wp-contact-form-7,https://contactform7.com/file-uploading-and-attachment/
"File uploading and attachment",wp-contact-form-7,"File uploading and attachment"
"Field type",wp-contact-form-7,"Field type"
"Field type",wp-contact-form-7,"Field type"
"Required field",wp-contact-form-7,"Required field"
Name,wp-contact-form-7,Name
"File size limit (bytes)",wp-contact-form-7,"File size limit (bytes)"
"Acceptable file types",wp-contact-form-7,"Acceptable file types"
"Id attribute",wp-contact-form-7,"Id attribute"
